aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,conidias_log10,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen,conidias_crudo,control_conidias_log10,control_conidias_crudo
FU1,maceracion,Grupo 2 - H17,1,0.0,7.74,21.447028423772608,23.987941429801893,True,MACERACIÓN,84,54954087.38576248,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,2,0.0,,25.32299741602067,2.2014432246566864,True,MACERACIÓN,85,,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,3,0.0,,25.193798449612405,,True,MACERACIÓN,86,,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,1,0.2,,21.447028423772608,23.987941429801893,False,MACERACIÓN,84,,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,2,0.2,,25.32299741602067,2.2014432246566864,False,MACERACIÓN,85,,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,3,0.2,,25.193798449612405,,False,MACERACIÓN,86,,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,1,1.0,,21.447028423772608,23.987941429801893,False,MACERACIÓN,84,,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,2,1.0,,25.32299741602067,2.2014432246566864,False,MACERACIÓN,85,,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,3,1.0,,25.193798449612405,,False,MACERACIÓN,86,,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,1,5.0,6.08,21.447028423772608,23.987941429801893,False,MACERACIÓN,84,1202264.4346174132,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,2,5.0,5.78,25.32299741602067,2.2014432246566864,False,MACERACIÓN,85,602559.5860743581,7.74,54954087.38576248
FU1,maceracion,Grupo 2 - H17,3,5.0,5.79,25.193798449612405,,False,MACERACIÓN,86,616595.0018614822,7.74,54954087.38576248
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,0.0,6.95,100.0,78.51318944844125,True,MACERACIÓN,87,8912509.381337458,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,0.0,,35.53956834532374,37.21624756790682,True,MACERACIÓN,88,,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,0.0,,100.0,,True,MACERACIÓN,89,,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,0.2,4.3,100.0,78.51318944844125,False,MACERACIÓN,87,19952.62314968879,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,0.2,4.3,35.53956834532374,37.21624756790682,False,MACERACIÓN,88,19952.62314968879,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,0.2,4.0,100.0,,False,MACERACIÓN,89,10000.0,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,1.0,0.0,100.0,78.51318944844125,False,MACERACIÓN,87,1.0,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,1.0,4.3,35.53956834532374,37.21624756790682,False,MACERACIÓN,88,19952.62314968879,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,1.0,4.3,100.0,,False,MACERACIÓN,89,19952.62314968879,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,5.0,0.0,100.0,78.51318944844125,False,MACERACIÓN,87,1.0,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,5.0,4.48,35.53956834532374,37.21624756790682,False,MACERACIÓN,88,30199.51720402019,6.95,8912509.381337458
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,5.0,0.0,100.0,,False,MACERACIÓN,89,1.0,6.95,8912509.381337458
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,0.0,6.9,16.086956521739133,16.71497584541063,True,MACERACIÓN,90,7943282.347242822,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,0.0,,19.71014492753624,2.73576717580053,True,MACERACIÓN,91,,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,0.0,,14.347826086956523,,True,MACERACIÓN,92,,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,0.2,,16.086956521739133,16.71497584541063,False,MACERACIÓN,90,,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,0.2,,19.71014492753624,2.73576717580053,False,MACERACIÓN,91,,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,0.2,,14.347826086956523,,False,MACERACIÓN,92,,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,1.0,,16.086956521739133,16.71497584541063,False,MACERACIÓN,90,,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,1.0,,19.71014492753624,2.73576717580053,False,MACERACIÓN,91,,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,1.0,,14.347826086956523,,False,MACERACIÓN,92,,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,5.0,5.79,16.086956521739133,16.71497584541063,False,MACERACIÓN,90,616595.0018614822,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,5.0,5.54,19.71014492753624,2.73576717580053,False,MACERACIÓN,91,346736.85045253165,6.9,7943282.347242822
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,5.0,5.91,14.347826086956523,,False,MACERACIÓN,92,812830.5161640996,6.9,7943282.347242822
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,0.0,7.78,23.52185089974293,20.522707797772064,True,MACERACIÓN,93,60255958.60743581,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,0.0,,21.46529562982005,3.565148939625508,True,MACERACIÓN,94,,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,0.0,,16.580976863753214,,True,MACERACIÓN,95,,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,0.2,6.98,23.52185089974293,20.522707797772064,False,MACERACIÓN,93,9549925.86021437,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,0.2,6.59,21.46529562982005,3.565148939625508,False,MACERACIÓN,94,3890451.449942805,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,0.2,6.75,16.580976863753214,,False,MACERACIÓN,95,5623413.251903491,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,1.0,6.94,23.52185089974293,20.522707797772064,False,MACERACIÓN,93,8709635.899560815,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,1.0,6.95,21.46529562982005,3.565148939625508,False,MACERACIÓN,94,8912509.381337458,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,1.0,7.06,16.580976863753214,,False,MACERACIÓN,95,11481536.214968815,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,5.0,5.95,23.52185089974293,20.522707797772064,False,MACERACIÓN,93,891250.9381337459,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,5.0,6.11,21.46529562982005,3.565148939625508,False,MACERACIÓN,94,1288249.551693135,7.78,60255958.60743581
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,5.0,6.49,16.580976863753214,,False,MACERACIÓN,95,3090295.432513592,7.78,60255958.60743581
H11G,maceracion,Grupo 4 - H33,1,0.0,6.18,35.275080906148865,78.4250269687163,True,MACERACIÓN,57,1513561.2484362072,6.18,1513561.2484362072
H11G,maceracion,Grupo 4 - H33,2,0.0,,100.0,37.368949462111686,True,MACERACIÓN,58,,6.18,1513561.2484362072
H11G,maceracion,Grupo 4 - H33,3,0.0,,100.0,,True,MACERACIÓN,59,,6.18,1513561.2484362072
H11G,maceracion,Grupo 4 - H33,1,0.2,4.0,35.275080906148865,78.4250269687163,False,MACERACIÓN,57,10000.0,6.18,1513561.2484362072
H11G,maceracion,Grupo 4 - H33,2,0.2,4.48,100.0,37.368949462111686,False,MACERACIÓN,58,30199.51720402019,6.18,1513561.2484362072
H11G,maceracion,Grupo 4 - H33,3,0.2,4.3,100.0,,False,MACERACIÓN,59,19952.62314968879,6.18,1513561.2484362072
H11G,maceracion,Grupo 4 - H33,1,1.0,0.0,35.275080906148865,78.4250269687163,False,MACERACIÓN,57,1.0,6.18,1513561.2484362072
