Metodo de extraccion,Aislamiento,Replica,Crecimiento micelial (mm),%INH micelial,Conidias (log10/ml),%INH conidias
Maceración,HC3,R1,0,100,0,100
Maceración,HC3,R2,0,100,0,100
Maceración,HC3,R3,0,100,4.85,37.01298701298702
Maceración,HC5,R1,18,60.869565217391305,5.53,16.212121212121204
Maceración,HC5,R2,12,73.91304347826087,5.69,13.787878787878778
Maceración,HC5,R3,18,60.869565217391305,5.32,19.393939393939387
Maceración,HC6,R1,16,70.37037037037037,7.03,5.383580080753694
Maceración,HC6,R2,12,77.77777777777777,6.08,18.169582772543738
Maceración,HC6,R3,24,55.55555555555556,4.6,38.08882907133244
Maceración,HC9,R1,0,100,6.93,4.149377593361005
Maceración,HC9,R2,0,100,5.7,21.161825726141082
Maceración,HC9,R3,0,100,6.72,7.0539419087137025
Maceración,HC10,R1,12,80,5,28.977272727272727
Maceración,HC10,R2,14,76.66666666666667,5.58,20.738636363636363
Maceración,HC10,R3,18,70,5.2,26.136363636363637
Maceración,HC15,R1,0,100,6.03,20.96985583224115
Maceración,HC15,R2,0,100,5.4,29.2267365661861
Maceración,HC15,R3,0,100,6.82,10.615989515072078
Maceración,HC16,R1,0,100,5.23,23.64963503649634
Maceración,HC16,R2,14,75.86206896551724,5.92,13.57664233576642
Maceración,HC16,R3,20,65.51724137931035,5.95,13.138686131386853
Maceración,HC17,R1,14,81.33333333333333,5.93,22.786458333333336
Maceración,HC17,R2,26,65.33333333333333,6.69,12.890624999999991
Maceración,HC17,R3,16,78.66666666666667,6.29,18.09895833333333
Maceración,HC19,R1,14,69.56521739130434,4.85,29.710144927536238
Maceración,HC19,R2,14,69.56521739130434,5.88,14.78260869565218
Maceración,HC19,R3,22,52.17391304347826,7,-1.4492753623188352
Maceración,HC20,R1,16,65.21739130434783,7.32,4.687499999999993
Maceración,HC20,R2,16,65.21739130434783,7.56,1.5625000000000016
Maceración,HC20,R3,20,56.52173913043478,7.56,1.5625000000000016
Maceración,HC23,R1,0,100,6.32,12.586445366528356
Maceración,HC23,R2,12,79.3103448275862,6.8,5.947441217150768
Maceración,HC23,R3,20,65.51724137931035,6.16,14.799446749654221
Maceración,HC26,R1,0,100,5.28,29.973474801061005
Maceración,HC26,R2,0,100,4.95,34.350132625994696
Maceración,HC26,R3,0,100,4.6,38.99204244031831
Maceración,HC27,R1,14,72,5.05,35.832274459974585
Maceración,HC27,R2,16,68,6.65,15.501905972045739
Maceración,HC27,R3,14,72,7.3,7.242693773824654
Maceración,HC28,R1,0,100,4,46.94960212201592
Maceración,HC28,R2,0,100,5.23,30.636604774535805
Maceración,HC28,R3,0,100,5.2,31.03448275862069
Maceración,H4B,R1,0,100,5.97,25.094102885821833
Maceración,H4B,R2,0,100,5.95,25.345043914680044
Maceración,H4B,R3,14,79.41176470588235,6.07,23.839397741530735
Maceración,H6B,R1,0,100,5.45,31.360201511335013
Maceración,H6B,R2,0,100,6.34,20.15113350125945
Maceración,H6B,R3,14,78.46153846153847,6.15,22.544080604534003
Maceración,H4G,R1,0,100,5.85,23.62924281984335
Maceración,H4G,R2,0,100,6.07,20.757180156657963
Maceración,H4G,R3,14,74.07407407407408,6.44,15.926892950391641
Maceración,H8G,R1,0,100,0,100
Maceración,H8G,R2,0,100,0,100
Maceración,H8G,R3,0,100,4,35.79454253611558
Maceración,H11G,R1,0,100,4,35.275080906148865
Maceración,H11G,R2,0,100,0,100
Maceración,H11G,R3,0,100,0,100
Maceración,H1N,R1,16,68,6.49,13.00268096514745
Maceración,H1N,R2,12,76,5.52,26.00536193029491
Maceración,H1N,R3,28,44,4.3,42.35924932975871
Maceración,H2N,R1,24,55.55555555555556,6.37,20.672478206724772
Maceración,H2N,R2,14,74.07407407407408,5.56,30.759651307596513
Maceración,H2N,R3,12,77.77777777777777,5.65,29.63885429638853
Maceración,H3N,R1,0,100,5.8,24.28198433420366
Maceración,H3N,R2,0,100,5.76,24.80417754569191
Maceración,H3N,R3,0,100,5.18,32.375979112271544
Maceración,H4N,R1,14,75.86206896551724,5.36,23.86363636363636
Maceración,H4N,R2,16,72.41379310344827,5.56,21.02272727272728
Maceración,H4N,R3,0,100,5.11,27.414772727272723
Maceración,H5N,R1,0,100,5.71,26.51222651222651
Maceración,H5N,R2,0,100,5.28,32.04633204633204
Maceración,H5N,R3,0,100,5.69,26.76962676962676
Maceración,H6N,R1,16,68,5.98,22.13541666666666
Maceración,H6N,R2,14,72,5.28,31.249999999999993
Maceración,H6N,R3,0,100,5.23,31.90104166666666
Maceración,H8N,R1,0,100,5,34.8109517601043
Maceración,H8N,R2,0,100,5.81,24.250325945241205
Maceración,H8N,R3,16,78.37837837837837,6.04,21.251629726205998
Maceración,H9N,R1,0,100,5.95,21.400264200792602
Maceración,H9N,R2,0,100,5.46,27.87318361955086
Maceración,H9N,R3,0,100,5.45,28.005284015852048
Maceración,FU1,R1,0,100,6.08,21.447028423772608
Maceración,FU1,R2,0,100,5.78,25.32299741602067
Maceración,FU1,R3,0,100,5.79,25.193798449612405
Maceración,FU2 (UCMU21),R1,0,100,0,100
Maceración,FU2 (UCMU21),R2,0,100,4.48,35.53956834532374
Maceración,FU2 (UCMU21),R3,0,100,0,100
Maceración,FUSARIUM JULIAN H20,R1,12,82.3529411764706,5.79,16.086956521739133
Maceración,FUSARIUM JULIAN H20,R2,20,70.58823529411765,5.54,19.710144927536234
Maceración,FUSARIUM JULIAN H20,R3,12,82.3529411764706,5.91,14.347826086956525
Maceración,FUSARIUM MARCE 1.2,R1,0,100,5.95,23.52185089974293
Maceración,FUSARIUM MARCE 1.2,R2,0,100,6.11,21.46529562982005
Maceración,FUSARIUM MARCE 1.2,R3,16,73.33333333333333,6.49,16.580976863753214
Soxhlet,HC3,R1,30,55.88235294117647,8,-3.896103896103894
Soxhlet,HC3,R2,22,67.6470588235294,7.8,-1.298701298701294
Soxhlet,HC3,R3,18,73.52941176470588,8.09,-5.064935064935061
Soxhlet,HC5,R1,18,60.869565217391305,6.34,3.9393939393939363
Soxhlet,HC5,R2,20,56.52173913043478,6.28,4.84848484848484
Soxhlet,HC5,R3,24,47.82608695652174,6.62,-0.30303030303031003
Soxhlet,HC6,R1,36,33.333333333333336,7.34,1.2113055181695809
Soxhlet,HC6,R2,34,37.03703703703704,7.44,-0.13458950201885161
Soxhlet,HC6,R3,30,44.44444444444444,6.96,6.325706594885595
Soxhlet,HC9,R1,15,76.5625,7.02,2.9045643153527085
Soxhlet,HC9,R2,10,84.375,7.24,-0.13831258644536357
Soxhlet,HC9,R3,12,81.25,7.35,-1.6597510373443873
Soxhlet,HC10,R1,36,40,5.78,17.89772727272727
Soxhlet,HC10,R2,20,66.66666666666667,5.78,17.89772727272727
Soxhlet,HC10,R3,32,46.666666666666664,6.66,5.397727272727271
Soxhlet,HC15,R1,32,46.666666666666664,7.83,-2.6212319790301466
Soxhlet,HC15,R2,20,66.66666666666667,7.27,4.718217562254264
Soxhlet,HC15,R3,32,46.666666666666664,7.79,-2.096985583224117
Soxhlet,HC16,R1,20,65.51724137931035,6.36,7.153284671532837
Soxhlet,HC16,R2,16,72.41379310344827,6.23,9.051094890510939
Soxhlet,HC16,R3,36,37.93103448275862,6.94,-1.3138686131386972
