aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,crecimiento_mm,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen,control_crecimiento_mm,porcentaje_inhibicion,inhibicion_completa,inhibicion_negativa,diferencia_con_hoja,logit_inhibicion
FU1,maceracion,Grupo 2 - H17,1,0.0,64.0,100.0,100.0,True,MACERACIÓN,84,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,2,0.0,,100.0,0.0,True,MACERACIÓN,85,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,3,0.0,,100.0,,True,MACERACIÓN,86,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,1,0.2,,100.0,100.0,False,MACERACIÓN,84,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,2,0.2,,100.0,0.0,False,MACERACIÓN,85,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,3,0.2,,100.0,,False,MACERACIÓN,86,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,1,1.0,,100.0,100.0,False,MACERACIÓN,84,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,2,1.0,,100.0,0.0,False,MACERACIÓN,85,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,3,1.0,,100.0,,False,MACERACIÓN,86,64.0,,False,False,,
FU1,maceracion,Grupo 2 - H17,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,84,64.0,100.0,True,False,0.0,
FU1,maceracion,Grupo 2 - H17,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,85,64.0,100.0,True,False,0.0,
FU1,maceracion,Grupo 2 - H17,3,5.0,0.0,100.0,,False,MACERACIÓN,86,64.0,100.0,True,False,0.0,
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,0.0,64.0,100.0,100.0,True,MACERACIÓN,87,64.0,,False,False,,
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,0.0,,100.0,0.0,True,MACERACIÓN,88,64.0,,False,False,,
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,0.0,,100.0,,True,MACERACIÓN,89,64.0,,False,False,,
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,0.2,50.0,100.0,100.0,False,MACERACIÓN,87,64.0,21.875,False,False,-78.125,-1.2729656758128873
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,0.2,40.0,100.0,0.0,False,MACERACIÓN,88,64.0,37.5,False,False,-62.5,-0.5108256237659907
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,0.2,36.0,100.0,,False,MACERACIÓN,89,64.0,43.75,False,False,-56.25,-0.25131442828090605
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,1.0,36.0,100.0,100.0,False,MACERACIÓN,87,64.0,43.75,False,False,-56.25,-0.25131442828090605
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,1.0,36.0,100.0,0.0,False,MACERACIÓN,88,64.0,43.75,False,False,-56.25,-0.25131442828090605
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,1.0,38.0,100.0,,False,MACERACIÓN,89,64.0,40.625,False,False,-59.375,-0.3794896217049037
FU2 (UCMU21),maceracion,Grupo 3 - H25,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,87,64.0,100.0,True,False,0.0,
FU2 (UCMU21),maceracion,Grupo 3 - H25,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,88,64.0,100.0,True,False,0.0,
FU2 (UCMU21),maceracion,Grupo 3 - H25,3,5.0,0.0,100.0,,False,MACERACIÓN,89,64.0,100.0,True,False,0.0,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,0.0,68.0,82.3529411764706,78.43137254901961,True,MACERACIÓN,90,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,0.0,,70.58823529411765,6.792356108113244,True,MACERACIÓN,91,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,0.0,,82.3529411764706,,True,MACERACIÓN,92,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,0.2,,82.3529411764706,78.43137254901961,False,MACERACIÓN,90,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,0.2,,70.58823529411765,6.792356108113244,False,MACERACIÓN,91,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,0.2,,82.3529411764706,,False,MACERACIÓN,92,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,1.0,,82.3529411764706,78.43137254901961,False,MACERACIÓN,90,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,1.0,,70.58823529411765,6.792356108113244,False,MACERACIÓN,91,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,1.0,,82.3529411764706,,False,MACERACIÓN,92,68.0,,False,False,,
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,1,5.0,12.0,82.3529411764706,78.43137254901961,False,MACERACIÓN,90,68.0,82.35294117647058,False,False,-1.4210854715202004e-14,1.5404450409471486
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,2,5.0,20.0,70.58823529411765,6.792356108113244,False,MACERACIÓN,91,68.0,70.58823529411764,False,False,-1.4210854715202004e-14,0.8754687373538997
FUSARIUM JULIAN H20,maceracion,Grupo 4 - H18,3,5.0,12.0,82.3529411764706,,False,MACERACIÓN,92,68.0,82.35294117647058,False,False,-1.4210854715202004e-14,1.5404450409471486
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,0.0,60.0,100.0,91.1111111111111,True,MACERACIÓN,93,60.0,,False,False,,
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,0.0,,100.0,15.39600717839012,True,MACERACIÓN,94,60.0,,False,False,,
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,0.0,,73.33333333333333,,True,MACERACIÓN,95,60.0,,False,False,,
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,0.2,50.0,100.0,91.1111111111111,False,MACERACIÓN,93,60.0,16.666666666666664,False,False,-83.33333333333334,-1.6094379124341005
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,0.2,50.0,100.0,15.39600717839012,False,MACERACIÓN,94,60.0,16.666666666666664,False,False,-83.33333333333334,-1.6094379124341005
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,0.2,54.0,73.33333333333333,,False,MACERACIÓN,95,60.0,9.999999999999998,False,False,-63.33333333333333,-2.1972245773362196
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,1.0,56.0,100.0,91.1111111111111,False,MACERACIÓN,93,60.0,6.666666666666665,False,False,-93.33333333333333,-2.639057329615259
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,1.0,42.0,100.0,15.39600717839012,False,MACERACIÓN,94,60.0,30.000000000000004,False,False,-70.0,-0.8472978603872034
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,1.0,40.0,73.33333333333333,,False,MACERACIÓN,95,60.0,33.333333333333336,False,False,-39.99999999999999,-0.6931471805599451
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,1,5.0,0.0,100.0,91.1111111111111,False,MACERACIÓN,93,60.0,100.0,True,False,0.0,
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,2,5.0,0.0,100.0,15.39600717839012,False,MACERACIÓN,94,60.0,100.0,True,False,0.0,
FUSARIUM MARCE 1.2,maceracion,Grupo 3 - H27,3,5.0,16.0,73.33333333333333,,False,MACERACIÓN,95,60.0,73.33333333333334,False,False,1.4210854715202004e-14,1.0116009116784803
H11G,maceracion,Grupo 4 - H33,1,0.0,26.0,100.0,100.0,True,MACERACIÓN,57,26.0,,False,False,,
H11G,maceracion,Grupo 4 - H33,2,0.0,,100.0,0.0,True,MACERACIÓN,58,26.0,,False,False,,
H11G,maceracion,Grupo 4 - H33,3,0.0,,100.0,,True,MACERACIÓN,59,26.0,,False,False,,
H11G,maceracion,Grupo 4 - H33,1,0.2,30.0,100.0,100.0,False,MACERACIÓN,57,26.0,0.0,False,True,-100.0,
H11G,maceracion,Grupo 4 - H33,2,0.2,30.0,100.0,0.0,False,MACERACIÓN,58,26.0,0.0,False,True,-100.0,
H11G,maceracion,Grupo 4 - H33,3,0.2,30.0,100.0,,False,MACERACIÓN,59,26.0,0.0,False,True,-100.0,
H11G,maceracion,Grupo 4 - H33,1,1.0,24.0,100.0,100.0,False,MACERACIÓN,57,26.0,7.692307692307687,False,False,-92.3076923076923,-2.4849066497880012
