aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,crecimiento_mm,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen
HC3,maceracion,Grupo 3 - H19,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,3
HC3,maceracion,Grupo 3 - H19,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,4
HC3,maceracion,Grupo 3 - H19,3,5.0,0.0,100.0,,False,MACERACIÓN,5
HC5,maceracion,Grupo 1 - H1,1,5.0,18.0,60.869565217391305,65.21739130434783,False,MACERACIÓN,6
HC5,maceracion,Grupo 1 - H1,2,5.0,12.0,73.91304347826087,7.530655685082078,False,MACERACIÓN,7
HC5,maceracion,Grupo 1 - H1,3,5.0,18.0,60.869565217391305,,False,MACERACIÓN,8
HC6,maceracion,Grupo 4 - H28,1,5.0,16.0,70.37037037037037,67.90123456790123,False,MACERACIÓN,9
HC6,maceracion,Grupo 4 - H28,2,5.0,12.0,77.77777777777777,11.315001715940358,False,MACERACIÓN,10
HC6,maceracion,Grupo 4 - H28,3,5.0,24.0,55.55555555555556,,False,MACERACIÓN,11
HC9,maceracion,Grupo 4 - H20,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,12
HC9,maceracion,Grupo 4 - H20,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,13
HC9,maceracion,Grupo 4 - H20,3,5.0,0.0,100.0,,False,MACERACIÓN,14
HC10,maceracion,Grupo 1 - H2,1,5.0,12.0,80.0,75.55555555555556,False,MACERACIÓN,15
HC10,maceracion,Grupo 1 - H2,2,5.0,14.0,76.66666666666667,5.091750772173156,False,MACERACIÓN,16
HC10,maceracion,Grupo 1 - H2,3,5.0,18.0,70.0,,False,MACERACIÓN,17
HC15,maceracion,Grupo 1 - H3,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,18
HC15,maceracion,Grupo 1 - H3,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,19
HC15,maceracion,Grupo 1 - H3,3,5.0,0.0,100.0,,False,MACERACIÓN,20
HC16,maceracion,Grupo 1 - H4,1,5.0,0.0,100.0,80.45977011494253,False,MACERACIÓN,21
HC16,maceracion,Grupo 1 - H4,2,5.0,14.0,75.86206896551724,17.69517737740307,False,MACERACIÓN,22
HC16,maceracion,Grupo 1 - H4,3,5.0,20.0,65.51724137931035,,False,MACERACIÓN,23
HC17,maceracion,Grupo 3 - H21,1,5.0,14.0,81.33333333333333,75.1111111111111,False,MACERACIÓN,24
HC17,maceracion,Grupo 3 - H21,2,5.0,26.0,65.33333333333333,8.572134009771517,False,MACERACIÓN,25
HC17,maceracion,Grupo 3 - H21,3,5.0,16.0,78.66666666666667,,False,MACERACIÓN,26
HC19,maceracion,Grupo 1 - H5,1,5.0,14.0,69.56521739130434,63.76811594202898,False,MACERACIÓN,27
HC19,maceracion,Grupo 1 - H5,2,5.0,14.0,69.56521739130434,10.040874246776138,False,MACERACIÓN,28
HC19,maceracion,Grupo 1 - H5,3,5.0,22.0,52.17391304347826,,False,MACERACIÓN,29
HC20,maceracion,Grupo 1 - H6,1,5.0,16.0,65.21739130434783,62.31884057971015,False,MACERACIÓN,30
HC20,maceracion,Grupo 1 - H6,2,5.0,16.0,65.21739130434783,5.020437123388052,False,MACERACIÓN,31
HC20,maceracion,Grupo 1 - H6,3,5.0,20.0,56.52173913043478,,False,MACERACIÓN,32
HC23,maceracion,Grupo 1 - H7,1,5.0,0.0,100.0,81.60919540229885,False,MACERACIÓN,33
HC23,maceracion,Grupo 1 - H7,2,5.0,12.0,79.3103448275862,17.35594123050743,False,MACERACIÓN,34
HC23,maceracion,Grupo 1 - H7,3,5.0,20.0,65.51724137931035,,False,MACERACIÓN,35
HC26,maceracion,Grupo 3 - H22,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,36
HC26,maceracion,Grupo 3 - H22,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,37
HC26,maceracion,Grupo 3 - H22,3,5.0,0.0,100.0,,False,MACERACIÓN,38
HC27,maceracion,Grupo 1 - H8,1,5.0,14.0,72.0,70.66666666666667,False,MACERACIÓN,39
HC27,maceracion,Grupo 1 - H8,2,5.0,16.0,68.0,2.3094010767585034,False,MACERACIÓN,40
HC27,maceracion,Grupo 1 - H8,3,5.0,14.0,72.0,,False,MACERACIÓN,41
HC28,maceracion,Grupo 1 - H9,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,42
HC28,maceracion,Grupo 1 - H9,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,43
HC28,maceracion,Grupo 1 - H9,3,5.0,0.0,100.0,,False,MACERACIÓN,44
H4B,maceracion,Grupo 4 - H29,1,5.0,0.0,100.0,93.13725490196077,False,MACERACIÓN,45
H4B,maceracion,Grupo 4 - H29,2,5.0,0.0,100.0,11.886623189198318,False,MACERACIÓN,46
H4B,maceracion,Grupo 4 - H29,3,5.0,14.0,79.41176470588235,,False,MACERACIÓN,47
H6B,maceracion,Grupo 4 - H30,1,5.0,0.0,100.0,92.82051282051282,False,MACERACIÓN,48
H6B,maceracion,Grupo 4 - H30,2,5.0,0.0,100.0,12.435236567161278,False,MACERACIÓN,49
H6B,maceracion,Grupo 4 - H30,3,5.0,14.0,78.46153846153847,,False,MACERACIÓN,50
H4G,maceracion,Grupo 4 - H31,1,5.0,0.0,100.0,91.35802469135803,False,MACERACIÓN,51
H4G,maceracion,Grupo 4 - H31,2,5.0,0.0,100.0,14.968340312323647,False,MACERACIÓN,52
H4G,maceracion,Grupo 4 - H31,3,5.0,14.0,74.07407407407408,,False,MACERACIÓN,53
H8G,maceracion,Grupo 4 - H32,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,54
H8G,maceracion,Grupo 4 - H32,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,55
H8G,maceracion,Grupo 4 - H32,3,5.0,0.0,100.0,,False,MACERACIÓN,56
H11G,maceracion,Grupo 4 - H33,1,5.0,0.0,100.0,100.0,False,MACERACIÓN,57
H11G,maceracion,Grupo 4 - H33,2,5.0,0.0,100.0,0.0,False,MACERACIÓN,58
H11G,maceracion,Grupo 4 - H33,3,5.0,0.0,100.0,,False,MACERACIÓN,59
H1N,maceracion,Grupo 2 - H10,1,5.0,16.0,68.0,62.666666666666664,False,MACERACIÓN,60
