metodo_extraccion,aislamiento,replica,crecimiento_micelial_mm,porcentaje_inhibicion_micelial,conidias_log10_ml,porcentaje_inhibicion_conidias,control_crecimiento_mm,control_conidias_log10
maceracion,HC3,1,0,100.0,0.0,100.0,68.0,7.7
maceracion,HC3,2,0,100.0,0.0,100.0,68.0,7.7
maceracion,HC3,3,0,100.0,4.85,37.01298701298702,68.0,7.7
maceracion,HC5,1,18,60.8695652173913,5.53,16.2121212121212,46.0,6.6
maceracion,HC5,2,12,73.91304347826087,5.69,13.78787878787878,46.0,6.6
maceracion,HC5,3,18,60.8695652173913,5.32,19.39393939393939,46.0,6.6
maceracion,HC6,1,16,70.37037037037037,7.03,5.383580080753694,54.0,7.43
maceracion,HC6,2,12,77.77777777777777,6.08,18.16958277254374,54.0,7.43
maceracion,HC6,3,24,55.55555555555556,4.6,38.08882907133244,54.0,7.43
maceracion,HC9,1,0,100.0,6.93,4.149377593361005,64.0,7.23
maceracion,HC9,2,0,100.0,5.7,21.16182572614108,64.0,7.23
maceracion,HC9,3,0,100.0,6.72,7.053941908713703,64.0,7.23
maceracion,HC10,1,12,80.0,5.0,28.97727272727273,60.0,7.04
maceracion,HC10,2,14,76.66666666666667,5.58,20.73863636363636,60.0,7.04
maceracion,HC10,3,18,70.0,5.2,26.13636363636364,60.0,7.04
maceracion,HC15,1,0,100.0,6.03,20.96985583224115,60.0,7.63
maceracion,HC15,2,0,100.0,5.4,29.2267365661861,60.0,7.63
maceracion,HC15,3,0,100.0,6.82,10.61598951507208,60.0,7.63
maceracion,HC16,1,0,100.0,5.23,23.64963503649634,58.0,6.85
maceracion,HC16,2,14,75.86206896551724,5.92,13.57664233576642,58.0,6.85
maceracion,HC16,3,20,65.51724137931035,5.95,13.13868613138685,58.0,6.85
maceracion,HC17,1,14,81.33333333333333,5.93,22.78645833333334,75.0,7.68
maceracion,HC17,2,26,65.33333333333333,6.69,12.89062499999999,75.0,7.68
maceracion,HC17,3,16,78.66666666666667,6.29,18.09895833333333,75.0,7.68
maceracion,HC19,1,14,69.56521739130434,4.85,29.71014492753624,46.0,6.9
maceracion,HC19,2,14,69.56521739130434,5.88,14.78260869565218,46.0,6.9
maceracion,HC19,3,22,52.17391304347826,7.0,-1.449275362318835,46.0,6.9
maceracion,HC20,1,16,65.21739130434783,7.32,4.687499999999993,46.0,7.68
maceracion,HC20,2,16,65.21739130434783,7.56,1.562500000000002,46.0,7.68
maceracion,HC20,3,20,56.52173913043478,7.56,1.562500000000002,46.0,7.68
maceracion,HC23,1,0,100.0,6.32,12.58644536652836,58.0,7.23
