aislamiento,score_susceptibilidad,categoria_susceptibilidad,cluster_kmeans,inhib_micelial_maceracion,inhib_micelial_soxhlet,inhib_micelial_ultrasonido,inhib_conidias_maceracion,inhib_conidias_soxhlet,inhib_conidias_ultrasonido
H5N,0.9235821995924614,Alta susceptibilidad relativa,1,100.0,62.22222222222222,62.22222222222223,28.442728442728434,21.106821106821098,11.025311025311021
HC3,0.8174294876794415,Alta susceptibilidad relativa,1,100.0,65.68627450980392,60.29411764705882,79.00432900432901,-3.419913419913416,9.220779220779226
H6B,0.7960770699325694,Alta susceptibilidad relativa,1,92.82051282051282,76.41025641025642,63.07692307692307,24.68513853904282,12.510495382031905,7.640638119227546
H8N,0.6563598917450696,Alta susceptibilidad relativa,1,92.7927927927928,74.77477477477477,61.26126126126127,26.770969143850504,7.996523250760539,7.431551499348109
HC26,0.560286435980443,Alta susceptibilidad relativa,1,100.0,62.57309941520467,62.57309941520467,34.43854995579134,11.759504862953136,0.3094606542882418
H9N,0.5221228851480254,Alta susceptibilidad relativa,1,100.0,67.61904761904762,59.523809523809526,25.75957727873184,7.926023778071336,4.359313077939235
H4B,0.505390266583409,Alta susceptibilidad relativa,1,93.13725490196077,74.50980392156863,60.78431372549019,24.759514847344207,8.531994981179418,1.1292346298619769
FU2 (UCMU21),0.4295720092583026,Alta susceptibilidad relativa,1,100.0,69.79166666666667,43.229166666666664,78.51318944844125,2.2062350119904073,-2.4940047961630674
HC28,0.4119299562168368,Alta susceptibilidad relativa,1,100.0,61.333333333333336,57.333333333333336,36.206896551724135,16.003536693191865,-5.923961096374885
HC9,0.35912872953268277,Alta susceptibilidad relativa,1,100.0,80.72916666666667,60.416666666666664,10.788381742738595,0.3688335638543196,-0.6454587367450424
FUSARIUM JULIAN H20,0.35798897537619334,Moderada susceptibilidad relativa,1,78.43137254901961,70.58823529411765,69.11764705882354,16.71497584541063,2.4154589371980717,7.34299516908213
FUSARIUM MARCE 1.2,0.34210504868282415,Moderada susceptibilidad relativa,1,91.1111111111111,63.333333333333336,50.0,20.52270779777206,12.724935732647817,9.6401028277635
H4G,0.26032650660000517,Moderada susceptibilidad relativa,1,91.35802469135803,66.66666666666667,56.17283950617284,20.104438642297648,9.878154917319405,0.9573542210617957
H4N,0.23017707283171399,Moderada susceptibilidad relativa,1,82.75862068965517,65.51724137931033,63.218390804597696,24.100378787878785,6.060606060606061,1.4204545454545487
H6N,0.17598803561599188,Moderada susceptibilidad relativa,1,80.0,52.0,60.0,28.42881944444444,8.289930555555554,9.33159722222222
H3N,0.17129265844968375,Moderada susceptibilidad relativa,1,100.0,58.666666666666664,57.333333333333336,27.154046997389035,3.0461270670147997,0.6962576153176682
FU1,0.1113987739361303,Moderada susceptibilidad relativa,1,100.0,56.25,50.0,23.987941429801896,6.373815676141255,3.9190353143841556
H2N,0.10529068917348461,Moderada susceptibilidad relativa,1,69.1358024691358,60.49382716049382,67.90123456790123,27.0236612702366,7.7625570776255595,0.3320880033208656
HC23,-0.20897501793660167,Moderada susceptibilidad relativa,1,81.60919540229885,58.620689655172406,55.17241379310345,11.111111111111114,3.3656062701705913,1.152604887044725
HC15,-0.2301958929393837,Moderada susceptibilidad relativa,1,100.0,53.333333333333336,53.333333333333336,20.270860637833113,-1.4802973661668753e-16,-5.0240279598077775
HC10,-0.23328732070186434,Baja susceptibilidad relativa,0,75.55555555555556,51.11111111111111,55.55555555555555,25.28409090909091,13.731060606060604,-6.628787878787875
HC17,-0.2494851649327259,Baja susceptibilidad relativa,1,75.1111111111111,59.11111111111111,56.0,17.925347222222218,-0.911458333333337,3.342013888888887
H11G,-0.3142129591504711,Baja susceptibilidad relativa,0,100.0,55.12820512820513,37.17948717948718,78.4250269687163,-9.81661272923409,-9.492988133764838
H1N,-0.4653759069748511,Baja susceptibilidad relativa,0,62.666666666666664,52.0,52.0,27.12243074173369,3.038427167113497,1.6979445933869524
HC16,-0.5788456179815548,Baja susceptibilidad relativa,0,80.45977011494253,58.620689655172406,57.4712643678161,16.7883211678832,4.963503649635027,-20.875912408759127
HC5,-0.6451446885704528,Baja susceptibilidad relativa,0,65.21739130434783,55.07246376811594,63.76811594202898,16.464646464646457,2.8282828282828216,-15.909090909090922
HC27,-0.6724084600155523,Baja susceptibilidad relativa,0,70.66666666666667,48.0,41.333333333333336,19.525624735281657,3.2613299449385873,2.2448115205421404
H8G,-0.8173124597226168,Baja susceptibilidad relativa,0,100.0,47.77777777777778,38.888888888888886,78.59818084537186,-23.916532905296943,-15.409309791332262
HC20,-0.8587476045865458,Baja susceptibilidad relativa,0,62.31884057971015,44.92753623188406,50.724637681159415,2.6041666666666656,0.9548611111111063,1.3454861111111092
HC6,-0.9549708782771625,Baja susceptibilidad relativa,0,67.90123456790123,38.27160493827161,37.03703703703704,20.547330641543294,2.467474203678775,1.8842530282637915
HC19,-1.5074847205454847,Baja susceptibilidad relativa,0,63.76811594202898,36.231884057971016,34.78260869565217,14.347826086956529,-4.106280193236713,-9.275362318840573
