genotipo,n,media,se,ic95_inf,ic95_sup
SVP72005-20-3-1,12,26.058333333333337,5.405517079705687,14.160870458279227,37.95579620838745
SVP75059-32,12,24.833333333333332,4.944009741417621,13.951641261124648,35.715025405542015
Nautica,12,22.991666666666664,5.027687858451458,11.925800300642093,34.05753303269123
SVP75059-46,12,18.983333333333334,5.2944343752222816,7.330361842390046,30.63630482427662
SVP73012-1-2-3,12,18.558333333333334,5.137819640330483,7.250068549738579,29.86659811692809
SVP73016-2-4,12,16.091666666666665,4.344108834462664,6.530347588191356,25.652985745141976
SVP73030-8-1-I,12,13.641666666666666,4.931062002727959,2.788472375170672,24.49486095816266
SVP75059-28,12,9.083333333333334,4.361033261867091,-0.5152361587021659,18.681902825368834
SVP77079-15,12,9.025,3.12565447692014,2.1454808807247776,15.904519119275223
SVP72003-4-2-4,12,7.633333333333333,2.0328861902788025,3.158980996374461,12.107685670292206
SVP77078-30,12,6.808333333333334,1.7331202520543139,2.993761377907508,10.62290528875916
Saiga,12,6.733333333333334,1.3246116259477567,3.817882801737465,9.648783864929204
SVP77076-1,12,4.233333333333333,0.9879833556852621,2.0587966290525324,6.407870037614135
SVP77076-38,12,3.9749999999999996,1.5031847504346878,0.6665126714171983,7.283487328582801
Arina,12,3.9416666666666664,1.0012460670927437,1.73793893139542,6.145394401937913
SVP77076-4,12,3.691666666666667,1.1952214409594957,1.061002012091472,6.322331321241862
SVP72017-17-5-10,12,2.6166666666666667,0.5545723623211899,1.3960611270007643,3.8372722063325693
