grupo1,grupo2,meandiff,p_ajustada,lower,upper,significativo
Arina,Nautica,19.05,0.0236,1.1998,36.9002,True
Arina,SVP72003-4-2-4,3.6917,1.0,-14.1586,21.5419,False
Arina,SVP72005-20-3-1,22.1167,0.0026,4.2664,39.9669,True
Arina,SVP72017-17-5-10,-1.325,1.0,-19.1752,16.5252,False
Arina,SVP73012-1-2-3,14.6167,0.2594,-3.2336,32.4669,False
Arina,SVP73016-2-4,12.15,0.59,-5.7002,30.0002,False
Arina,SVP73030-8-1-I,9.7,0.8895,-8.1502,27.5502,False
Arina,SVP75059-28,5.1417,0.9999,-12.7086,22.9919,False
Arina,SVP75059-32,20.8917,0.0066,3.0414,38.7419,True
Arina,SVP75059-46,15.0417,0.2162,-2.8086,32.8919,False
Arina,SVP77076-1,0.2917,1.0,-17.5586,18.1419,False
Arina,SVP77076-38,0.0333,1.0,-17.8169,17.8836,False
Arina,SVP77076-4,-0.25,1.0,-18.1002,17.6002,False
Arina,SVP77078-30,2.8667,1.0,-14.9836,20.7169,False
Arina,SVP77079-15,5.0833,0.9999,-12.7669,22.9336,False
Arina,Saiga,2.7917,1.0,-15.0586,20.6419,False
Nautica,SVP72003-4-2-4,-15.3583,0.1875,-33.2086,2.4919,False
Nautica,SVP72005-20-3-1,3.0667,1.0,-14.7836,20.9169,False
Nautica,SVP72017-17-5-10,-20.375,0.0096,-38.2252,-2.5248,True
Nautica,SVP73012-1-2-3,-4.4333,1.0,-22.2836,13.4169,False
Nautica,SVP73016-2-4,-6.9,0.9952,-24.7502,10.9502,False
Nautica,SVP73030-8-1-I,-9.35,0.9162,-27.2002,8.5002,False
Nautica,SVP75059-28,-13.9083,0.3424,-31.7586,3.9419,False
Nautica,SVP75059-32,1.8417,1.0,-16.0086,19.6919,False
Nautica,SVP75059-46,-4.0083,1.0,-21.8586,13.8419,False
Nautica,SVP77076-1,-18.7583,0.0285,-36.6086,-0.9081,True
Nautica,SVP77076-38,-19.0167,0.0242,-36.8669,-1.1664,True
Nautica,SVP77076-4,-19.3,0.0201,-37.1502,-1.4498,True
Nautica,SVP77078-30,-16.1833,0.1257,-34.0336,1.6669,False
Nautica,SVP77079-15,-13.9667,0.3351,-31.8169,3.8836,False
Nautica,Saiga,-16.2583,0.121,-34.1086,1.5919,False
SVP72003-4-2-4,SVP72005-20-3-1,18.425,0.0352,0.5748,36.2752,True
SVP72003-4-2-4,SVP72017-17-5-10,-5.0167,0.9999,-22.8669,12.8336,False
SVP72003-4-2-4,SVP73012-1-2-3,10.925,0.7602,-6.9252,28.7752,False
SVP72003-4-2-4,SVP73016-2-4,8.4583,0.9636,-9.3919,26.3086,False
SVP72003-4-2-4,SVP73030-8-1-I,6.0083,0.999,-11.8419,23.8586,False
SVP72003-4-2-4,SVP75059-28,1.45,1.0,-16.4002,19.3002,False
SVP72003-4-2-4,SVP75059-32,17.2,0.0729,-0.6502,35.0502,False
SVP72003-4-2-4,SVP75059-46,11.35,0.7043,-6.5002,29.2002,False
SVP72003-4-2-4,SVP77076-1,-3.4,1.0,-21.2502,14.4502,False
SVP72003-4-2-4,SVP77076-38,-3.6583,1.0,-21.5086,14.1919,False
SVP72003-4-2-4,SVP77076-4,-3.9417,1.0,-21.7919,13.9086,False
SVP72003-4-2-4,SVP77078-30,-0.825,1.0,-18.6752,17.0252,False
SVP72003-4-2-4,SVP77079-15,1.3917,1.0,-16.4586,19.2419,False
SVP72003-4-2-4,Saiga,-0.9,1.0,-18.7502,16.9502,False
SVP72005-20-3-1,SVP72017-17-5-10,-23.4417,0.0009,-41.2919,-5.5914,True
SVP72005-20-3-1,SVP73012-1-2-3,-7.5,0.9884,-25.3502,10.3502,False
SVP72005-20-3-1,SVP73016-2-4,-9.9667,0.8661,-27.8169,7.8836,False
SVP72005-20-3-1,SVP73030-8-1-I,-12.4167,0.5507,-30.2669,5.4336,False
SVP72005-20-3-1,SVP75059-28,-16.975,0.0826,-34.8252,0.8752,False
SVP72005-20-3-1,SVP75059-32,-1.225,1.0,-19.0752,16.6252,False
SVP72005-20-3-1,SVP75059-46,-7.075,0.9937,-24.9252,10.7752,False
SVP72005-20-3-1,SVP77076-1,-21.825,0.0033,-39.6752,-3.9748,True
SVP72005-20-3-1,SVP77076-38,-22.0833,0.0027,-39.9336,-4.2331,True
SVP72005-20-3-1,SVP77076-4,-22.3667,0.0022,-40.2169,-4.5164,True
SVP72005-20-3-1,SVP77078-30,-19.25,0.0207,-37.1002,-1.3998,True
SVP72005-20-3-1,SVP77079-15,-17.0333,0.08,-34.8836,0.8169,False
SVP72005-20-3-1,Saiga,-19.325,0.0197,-37.1752,-1.4748,True
SVP72017-17-5-10,SVP73012-1-2-3,15.9417,0.1419,-1.9086,33.7919,False
SVP72017-17-5-10,SVP73016-2-4,13.475,0.3993,-4.3752,31.3252,False
SVP72017-17-5-10,SVP73030-8-1-I,11.025,0.7475,-6.8252,28.8752,False
SVP72017-17-5-10,SVP75059-28,6.4667,0.9977,-11.3836,24.3169,False
SVP72017-17-5-10,SVP75059-32,22.2167,0.0024,4.3664,40.0669,True
SVP72017-17-5-10,SVP75059-46,16.3667,0.1144,-1.4836,34.2169,False
SVP72017-17-5-10,SVP77076-1,1.6167,1.0,-16.2336,19.4669,False
SVP72017-17-5-10,SVP77076-38,1.3583,1.0,-16.4919,19.2086,False
SVP72017-17-5-10,SVP77076-4,1.075,1.0,-16.7752,18.9252,False
SVP72017-17-5-10,SVP77078-30,4.1917,1.0,-13.6586,22.0419,False
SVP72017-17-5-10,SVP77079-15,6.4083,0.9979,-11.4419,24.2586,False
SVP72017-17-5-10,Saiga,4.1167,1.0,-13.7336,21.9669,False
SVP73012-1-2-3,SVP73016-2-4,-2.4667,1.0,-20.3169,15.3836,False
SVP73012-1-2-3,SVP73030-8-1-I,-4.9167,0.9999,-22.7669,12.9336,False
SVP73012-1-2-3,SVP75059-28,-9.475,0.9072,-27.3252,8.3752,False
SVP73012-1-2-3,SVP75059-32,6.275,0.9984,-11.5752,24.1252,False
SVP73012-1-2-3,SVP75059-46,0.425,1.0,-17.4252,18.2752,False
SVP73012-1-2-3,SVP77076-1,-14.325,0.292,-32.1752,3.5252,False
SVP73012-1-2-3,SVP77076-38,-14.5833,0.263,-32.4336,3.2669,False
SVP73012-1-2-3,SVP77076-4,-14.8667,0.2334,-32.7169,2.9836,False
SVP73012-1-2-3,SVP77078-30,-11.75,0.6481,-29.6002,6.1002,False
SVP73012-1-2-3,SVP77079-15,-9.5333,0.9028,-27.3836,8.3169,False
SVP73012-1-2-3,Saiga,-11.825,0.6373,-29.6752,6.0252,False
SVP73016-2-4,SVP73030-8-1-I,-2.45,1.0,-20.3002,15.4002,False
SVP73016-2-4,SVP75059-28,-7.0083,0.9943,-24.8586,10.8419,False
SVP73016-2-4,SVP75059-32,8.7417,0.9515,-9.1086,26.5919,False
SVP73016-2-4,SVP75059-46,2.8917,1.0,-14.9586,20.7419,False
SVP73016-2-4,SVP77076-1,-11.8583,0.6325,-29.7086,5.9919,False
SVP73016-2-4,SVP77076-38,-12.1167,0.5948,-29.9669,5.7336,False
SVP73016-2-4,SVP77076-4,-12.4,0.5532,-30.2502,5.4502,False
SVP73016-2-4,SVP77078-30,-9.2833,0.9207,-27.1336,8.5669,False
SVP73016-2-4,SVP77079-15,-7.0667,0.9938,-24.9169,10.7836,False
SVP73016-2-4,Saiga,-9.3583,0.9156,-27.2086,8.4919,False
SVP73030-8-1-I,SVP75059-28,-4.5583,1.0,-22.4086,13.2919,False
SVP73030-8-1-I,SVP75059-32,11.1917,0.7256,-6.6586,29.0419,False
SVP73030-8-1-I,SVP75059-46,5.3417,0.9998,-12.5086,23.1919,False
SVP73030-8-1-I,SVP77076-1,-9.4083,0.912,-27.2586,8.4419,False
SVP73030-8-1-I,SVP77076-38,-9.6667,0.8923,-27.5169,8.1836,False
SVP73030-8-1-I,SVP77076-4,-9.95,0.8676,-27.8002,7.9002,False
SVP73030-8-1-I,SVP77078-30,-6.8333,0.9957,-24.6836,11.0169,False
SVP73030-8-1-I,SVP77079-15,-4.6167,1.0,-22.4669,13.2336,False
SVP73030-8-1-I,Saiga,-6.9083,0.9951,-24.7586,10.9419,False
SVP75059-28,SVP75059-32,15.75,0.1558,-2.1002,33.6002,False
SVP75059-28,SVP75059-46,9.9,0.8722,-7.9502,27.7502,False
SVP75059-28,SVP77076-1,-4.85,0.9999,-22.7002,13.0002,False
SVP75059-28,SVP77076-38,-5.1083,0.9999,-22.9586,12.7419,False
SVP75059-28,SVP77076-4,-5.3917,0.9997,-23.2419,12.4586,False
SVP75059-28,SVP77078-30,-2.275,1.0,-20.1252,15.5752,False
SVP75059-28,SVP77079-15,-0.0583,1.0,-17.9086,17.7919,False
SVP75059-28,Saiga,-2.35,1.0,-20.2002,15.5002,False
SVP75059-32,SVP75059-46,-5.85,0.9993,-23.7002,12.0002,False
SVP75059-32,SVP77076-1,-20.6,0.0082,-38.4502,-2.7498,True
SVP75059-32,SVP77076-38,-20.8583,0.0068,-38.7086,-3.0081,True
SVP75059-32,SVP77076-4,-21.1417,0.0055,-38.9919,-3.2914,True
SVP75059-32,SVP77078-30,-18.025,0.045,-35.8752,-0.1748,True
SVP75059-32,SVP77079-15,-15.8083,0.1515,-33.6586,2.0419,False
SVP75059-32,Saiga,-18.1,0.043,-35.9502,-0.2498,True
SVP75059-46,SVP77076-1,-14.75,0.2453,-32.6002,3.1002,False
SVP75059-46,SVP77076-38,-15.0083,0.2194,-32.8586,2.8419,False
SVP75059-46,SVP77076-4,-15.2917,0.1933,-33.1419,2.5586,False
SVP75059-46,SVP77078-30,-12.175,0.5863,-30.0252,5.6752,False
SVP75059-46,SVP77079-15,-9.9583,0.8669,-27.8086,7.8919,False
SVP75059-46,Saiga,-12.25,0.5753,-30.1002,5.6002,False
SVP77076-1,SVP77076-38,-0.2583,1.0,-18.1086,17.5919,False
SVP77076-1,SVP77076-4,-0.5417,1.0,-18.3919,17.3086,False
SVP77076-1,SVP77078-30,2.575,1.0,-15.2752,20.4252,False
SVP77076-1,SVP77079-15,4.7917,0.9999,-13.0586,22.6419,False
SVP77076-1,Saiga,2.5,1.0,-15.3502,20.3502,False
SVP77076-38,SVP77076-4,-0.2833,1.0,-18.1336,17.5669,False
SVP77076-38,SVP77078-30,2.8333,1.0,-15.0169,20.6836,False
SVP77076-38,SVP77079-15,5.05,0.9999,-12.8002,22.9002,False
SVP77076-38,Saiga,2.7583,1.0,-15.0919,20.6086,False
SVP77076-4,SVP77078-30,3.1167,1.0,-14.7336,20.9669,False
SVP77076-4,SVP77079-15,5.3333,0.9998,-12.5169,23.1836,False
SVP77076-4,Saiga,3.0417,1.0,-14.8086,20.8919,False
SVP77078-30,SVP77079-15,2.2167,1.0,-15.6336,20.0669,False
SVP77078-30,Saiga,-0.075,1.0,-17.9252,17.7752,False
SVP77079-15,Saiga,-2.2917,1.0,-20.1419,15.5586,False
